Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\Program.cs,17,12,T:System.Windows.Forms.Application,,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\Program.cs,17,12,M:System.Windows.Forms.Application.SetCompatibleTextRenderingDefault(System.Boolean),,,,,Application.SetCompatibleTextRenderingDefault(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\Program.cs,16,12,T:System.Windows.Forms.Application,,,,,Application.EnableVisualStyles();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\Program.cs,16,12,M:System.Windows.Forms.Application.EnableVisualStyles,,,,,Application.EnableVisualStyles();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,127,44,T:System.Windows.Forms.Button,,,,,btnGenerateEmployeeID
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,126,45,T:System.Windows.Forms.TextBox,,,,,tboxFirstName
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,125,43,T:System.Windows.Forms.Label,,,,,label3
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,124,45,T:System.Windows.Forms.TextBox,,,,,tboxEmployeeID
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,123,43,T:System.Windows.Forms.Label,,,,,label2
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,122,45,T:System.Windows.Forms.TextBox,,,,,tboxLastName
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,121,43,T:System.Windows.Forms.Label,,,,,label1
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,115,12,M:System.Windows.Forms.Control.PerformLayout,,,,,this.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,114,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,113,12,P:System.Windows.Forms.Form.Text,,,,,"this.Text = ""Form1"";"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,DRY.WinForms\DRY.WinForms.csproj,File,DRY.WinForms\EmployeeInfo.Designer.cs,112,12,P:System.Windows.Forms.Control.Name,,,,,"this.Name = ""EmployeeInfo"";"
